ds,yhat,yhat_lower,yhat_upper
2016-01-01,4.028632161014324,1.6509959388270374,6.519477592344691
2016-01-02,3.9948025752059255,1.5428353638325631,6.449996034360584
2016-01-03,4.899203493095568,2.4081249891113017,7.458393146511496
2016-01-04,4.7535278621306265,2.1572254077529194,7.389306942001923
2016-01-05,4.586016581775333,1.7958059118287162,7.096652906726631
2016-01-06,4.7810182805029235,2.4062200945782886,7.18550597834839
2016-01-07,4.778703417346394,2.332859422970502,7.542683417940191
2016-01-08,4.7417539949128855,2.1985943971224917,7.0469942612441985
2016-01-09,4.733383241339905,1.972816599464154,7.319136746842931
2016-01-10,5.6525828506511075,3.310701841916421,8.143871905874807
2016-01-11,5.51094057574189,3.038082490527455,7.941170483096002
2016-01-12,5.336847530722464,2.657608473515576,8.009911325581012
2016-01-13,5.515055390361639,2.982918134110702,7.926624758038115
2016-01-14,5.486381206058853,2.9021370486057156,7.934655182500111
2016-01-15,5.414381321980093,2.9988907171862285,7.835110998389162
2016-01-16,5.363349127249775,2.7473736131130297,8.073101638522425
2016-01-17,6.23353478469669,3.8286940962634697,8.820628479011635
2016-01-18,6.037930439798344,3.4879518791805184,8.591395780029004
2016-01-19,5.806441115741768,3.2915134537321977,8.436540288567695
2016-01-20,5.9254024484287475,3.365589962867339,8.586282535139501
2016-01-21,5.8372440376673005,3.2985205531451194,8.397522814058423
2016-01-22,5.707121016580824,3.166533564893649,8.272184234401001
2016-01-23,5.600869724344854,3.010184345411146,8.097855301016416
2016-01-24,6.420186770652508,3.818639489626015,8.997079805966456
2016-01-25,6.179376110135119,3.670107667124375,8.713603255843841
2016-01-26,5.909485382421292,3.1234170957600997,8.431982461995249
2016-01-27,5.997793627055183,3.429465243241828,8.354198905439299
2016-01-28,5.887449983152863,3.426104885100609,8.284100761652105
2016-01-29,5.744086664046101,3.1337228183010497,8.05588335781396
2016-01-30,5.633762614749679,3.1694296760764162,8.129363960659564
2016-01-31,6.458137482684984,3.9128959367054583,9.005270419793185
2016-02-01,6.231220670948583,3.645548281334456,8.558212958116684
2016-02-02,5.983516684982623,3.545958349391386,8.48012624050267
2016-02-03,6.101528641750268,3.457271108976604,8.47941717442182
2016-02-04,6.027419122055739,3.4255335565571983,8.708765945544403
2016-02-05,5.925651049319365,3.571295129775435,8.469406244898797
2016-02-06,5.860964234615036,3.305489984390261,8.557832634958437
2016-02-07,6.733586310423357,4.3703716773866255,9.093523165730991
2016-02-08,6.556021799535855,3.9321917525701435,8.827695602869701
2016-02-09,6.357239420899428,3.8171650731644924,8.873878385444707
2016-02-10,6.522218336994713,3.8880694046855497,8.893537829970283
2016-02-11,6.491651336259744,4.139271707096065,9.065404934390445
2016-02-12,6.428626457296905,3.988642117763699,8.861002943074954
2016-02-13,6.396641561900056,3.8529852013007724,8.973653334105206
2016-02-14,7.29484952218969,4.67421381366454,9.743369594488273
2016-02-15,7.1348768166930014,4.709049768871032,9.633138024651162
2016-02-16,6.945034817911454,4.314401113441964,9.362390992314257
2016-02-17,7.109883812348901,4.454444337776831,9.535565399498502
2016-02-18,7.069947257272663,4.601265383459776,9.631252589073194
2016-02-19,6.988397480031553,4.635302230130344,9.509939370321746
2016-02-20,6.929067222843472,4.433462941486013,9.543662906342496
2016-02-21,7.791684794098858,5.355314654212137,10.2789663004608
2016-02-22,7.588675913927402,4.841465444471627,10.147103580604478
2016-02-23,7.349352018304501,4.749128515988339,9.901578457115884
2016-02-24,7.459445719724675,4.941150650337146,10.077462638579028
2016-02-25,7.3607917422593445,4.996323735390872,9.897103425440939
2016-02-26,7.217975483966901,4.84885173114107,9.750594909416629
2016-02-27,7.0963046633052445,4.665171463763154,9.716712470065856
2016-02-28,7.897002941049348,5.413722039603874,10.370619478769019
2016-02-29,7.633969780523369,5.059804223219022,10.219609150630566
2016-03-01,7.337927496764338,4.805491100837198,10.00556014522423
2016-03-02,7.3959173565104495,4.899303940545913,9.984880772170824
2016-03-03,7.250944155275686,4.551215668696436,9.679386548144945
2016-03-04,7.068592446010895,4.519201152302627,9.507207658240977
