ds,yhat,yhat_lower,yhat_upper
2016-01-01,5.5185803068369195,4.269460103888774,6.767350387339009
2016-01-02,5.51175123791316,4.210457836923651,6.794818461248602
2016-01-03,5.80615050893603,4.5868722106911655,7.033890593808605
2016-01-04,5.590093317169856,4.37359031559557,6.769179149251165
2016-01-05,5.550714161614735,4.325784862432764,6.743293413446165
2016-01-06,5.452209729129076,4.209746118969326,6.617942865609673
2016-01-07,5.284968838776037,3.9573710982536316,6.497547867977942
2016-01-08,5.045180842076852,3.851989716390975,6.383370585201102
2016-01-09,5.074106413694587,3.7973138466382723,6.289959927048347
2016-01-10,5.401120440881161,4.179791709784329,6.546487234850958
2016-01-11,5.214148762262397,3.8711047924292186,6.522621195329533
2016-01-12,5.200001627617132,3.9054108604897415,6.37992082150714
2016-01-13,5.122623087071183,3.8380168249492286,6.35016863143406
2016-01-14,4.972225997459107,3.8059142763924236,6.17022026395472
2016-01-15,4.744903908579775,3.4811661973898413,6.034357913925876
2016-01-16,4.78190366465599,3.611019177730103,5.946529873277299
2016-01-17,5.11266836888645,3.9435343713879085,6.37297530631855
2016-01-18,4.92527244208901,3.6219994591896345,6.090282632580657
2016-01-19,4.906751669378292,3.721574909355701,6.143492624272947
2016-01-20,4.821347507506423,3.639813371525338,6.060588687542773
2016-01-21,4.6596354455985765,3.3734524033726507,5.892693255528375
2016-01-22,4.4181288256025155,3.2072725208578263,5.6314356428986985
2016-01-23,4.438542136798418,3.316136160513463,5.6734483975177055
2016-01-24,4.75082364257165,3.5230808775014664,5.892390018963533
2016-01-25,4.543579307082132,3.333064736950367,5.814516763471539
2016-01-26,4.504391172957941,3.2672296398741083,5.762681944052555
2016-01-27,4.398049734142423,3.1723276608535413,5.545091342574369
2016-01-28,4.21567037564585,2.9823081019214923,5.351957406640114
2016-01-29,3.9542855661422074,2.772852527095379,5.214987380646286
2016-01-30,3.9560970909037967,2.7667175012185448,5.252116754813882
2016-01-31,4.251498443056999,2.9795977760688754,5.448154549242488
2016-02-01,4.029489580565463,2.7756864752843327,5.216923696725679
2016-02-02,3.9779874137360087,2.7695015648054437,5.261774177212474
2016-02-03,3.862051749421435,2.5717433282584503,5.053861354882812
2016-02-04,3.6729969094395725,2.41566948325656,4.958077959268581
2016-02-05,3.4079808148558675,2.170770239141715,4.646557458036293
2016-02-06,3.4092558865496283,2.1183618155052915,4.623202701574299
2016-02-07,3.7071918986087047,2.5021776581307034,5.018510987343641
2016-02-08,3.4906929655790413,2.296465522661461,4.693144936856297
2016-02-09,3.4475119579231035,2.237790040400266,4.67098896458846
2016-02-10,3.342481959044524,2.1006646374829057,4.656933253032087
2016-02-11,3.1666348293101176,1.8924058554202263,4.318078053767128
2016-02-12,2.916798481274559,1.731584939196283,4.1536331463170235
2016-02-13,2.934856998747659,1.6863610453713387,4.081985203626606
2016-02-14,3.2507834937648177,2.0391990873583614,4.4634048495113445
2016-02-15,3.053067621791713,1.7166613414174179,4.221970949024942
2016-02-16,3.029040777345447,1.7756547233509525,4.206325916922847
2016-02-17,2.9431183069795486,1.7401673095925736,4.158052737189756
2016-02-18,2.7859285315931706,1.5709787403838575,4.0918391109914545
2016-02-19,2.553919918926609,1.336936955250454,3.718561443680932
2016-02-20,2.588630292489025,1.3564840620936018,3.7588016233190706
2016-02-21,2.919727747943191,1.726364016574685,4.1395451568622414
2016-02-22,2.735445003347521,1.4474389488778954,3.9417632938328864
2016-02-23,2.722910045496482,1.4725767815423874,3.9605596305868636
2016-02-24,2.646392287471231,1.4039033635639322,3.849456889742051
2016-02-25,2.496433948457411,1.3288150368166916,3.7702598004791628
2016-02-26,2.269457958729491,1.0746888391012779,3.4695841320394583
2016-02-27,2.3070362815897374,1.0987894189809628,3.484349077468177
2016-02-28,2.6389283719200907,1.3287390017085792,3.850380795740406
2016-02-29,2.4535115877817217,1.2178030936989312,3.6177865267671514
2016-03-01,2.438106546020504,1.1209964628023497,3.672507052004314
2016-03-02,2.357216800506028,1.042665118653672,3.5971819951323707
2016-03-03,2.201652747759076,0.995330171448584,3.403337894547761
2016-03-04,1.968131281126576,0.7872437332029326,3.2261900055379056
2016-03-05,1.998535322047743,0.8556331838889064,3.2725138492352635
2016-03-06,2.322943196601587,1.0894221433230689,3.613156016602993
2016-03-07,2.1300499272879225,0.8389312100638603,3.3540135166471936
2016-03-08,2.1074836823986196,0.9149788531146,3.3446949152048777
2016-03-09,2.0200370040815168,0.7251122528063899,3.353027345902809
2016-03-10,1.8587829467730461,0.5989417005021325,3.075147133446471
2016-03-11,1.6206678524098888,0.41844222001317705,2.8534081673258997
2016-03-12,1.6477650690571726,0.3363531192966148,2.892506497859187
2016-03-13,1.9702997274703875,0.7325174450859727,3.240495367439274
2016-03-14,1.7770667562214413,0.49793696860942116,2.93578474227422
2016-03-15,1.7557454501408822,0.5053406432359432,2.9864306167138346
2016-03-16,1.6711302455849533,0.5240272109220581,2.9170578326526004
2016-03-17,1.5142478260986207,0.2762392166318718,2.8493787995834543
2016-03-18,1.281952236898458,0.12783222540586336,2.547905314957747
2016-03-19,1.3161822286773615,0.004754976221720654,2.5420155871019774
2016-03-20,1.6469908237239215,0.3858351282570909,2.8814364019210204
2016-03-21,1.462969131879629,0.24121090627059252,2.624114607380142
2016-03-22,1.451567550990038,0.2933202643012314,2.6774982842356603
2016-03-23,1.3773338036509146,0.094623166696788,2.5492956965457725
2016-03-24,1.231037716401581,0.059683104588777694,2.43634470181421
2016-03-25,1.0092741930186455,-0.21394005858725582,2.2159816356407873
