ds,yhat,yhat_lower,yhat_upper,month
2023-01-02,14.924984928571412,12.241473936029799,17.381099582269073,1
2023-01-03,14.744538787675655,12.257795957973014,17.33813054203806,1
2023-01-04,14.929249262692576,12.28447523307015,17.401420555837266,1
2023-01-05,14.919405437275618,12.4704732626496,17.520299797157403,1
2023-01-06,14.87774272897941,12.360105245995651,17.554908929614204,1
2023-01-07,14.867460793105703,12.47853815740599,17.392801523930675,1
2023-01-08,15.787470744909555,13.41109539605917,18.505976298225495,1
2023-01-09,15.649214510722457,13.081358842315879,18.28317392971684,1
2023-01-10,15.480875631889216,13.160013410619225,18.02384049530506,1
2023-01-11,15.666941627943867,13.140522993976008,18.219077881395027,1
2023-01-12,15.64791551038712,13.24592012663781,18.11959683281614,1
2023-01-13,15.586997759245317,13.143270650747693,18.12841729987205,1
2023-01-14,15.548093287842464,12.936139553662407,18.049414407013,1
2023-01-15,16.431041292494935,13.99818102166742,19.0855748887032,1
2023-01-16,16.248411220294056,13.662990967848554,18.768887480266645,1
2023-01-17,16.02968477099251,13.423401857486317,18.546003974958833,1
2023-01-18,16.16078478573858,13.408517481371133,18.569858028402948,1
2023-01-19,16.083749494692388,13.584093735156767,18.65829257388734,1
2023-01-20,15.963374427069821,13.445730315438063,18.4921513115379,1
2023-01-21,15.865177584049585,13.320125687883074,18.559913210580174,1
2023-01-22,16.690586900321026,14.214874617580728,19.102467590960348,1
2023-01-23,16.45369437934556,13.766432771381856,19.02524725633601,1
2023-01-24,16.18539796091455,13.700796174216647,18.83875613339959,1
2023-01-25,16.2728930750192,13.839583823935156,18.847283878755984,1
2023-01-26,16.159313382947325,13.40161229956223,18.67327278064613,1
2023-01-27,16.010343936509763,13.552064402506572,18.430726118870712,1
2023-01-28,15.892163155253288,13.494636767284696,18.34582815851014,1
2023-01-29,16.70661329595489,14.418090886569864,19.417371252916688,1
2023-01-30,16.46794427822818,13.914766289927208,19.06810544073116,1
2023-01-31,16.206952219964027,13.66055472116517,18.57690990666451,1
2023-02-01,16.310474738852818,13.845551361995172,18.99088302627672,2
2023-02-02,16.221042427059484,13.843420692636471,18.57258249865304,2
2023-02-03,16.103509441725954,13.387193602211154,18.49210733169447,2
2023-02-04,16.023019136223088,13.36684218047691,18.42103012007506,2
2023-02-05,16.88020375750812,14.331088100255814,19.541833321701162,2
