ds,yhat,yhat_lower,yhat_upper
2021-08-03,1.0277885294597806,-0.24003958396011466,2.2775863512812373
2021-08-04,0.9990756684813382,-0.2786561006956137,2.217401794320736
2021-08-05,0.8989438356171906,-0.4397925046264764,2.1443225969791744
2021-08-06,0.724433310182528,-0.4705187397345677,1.913056358666076
2021-08-07,0.8176828609605384,-0.4403857939936254,2.115980696844465
2021-08-08,1.2089542108121472,-0.10875564846185379,2.466449959229809
2021-08-09,1.0870501500265761,-0.1373813783797709,2.238508673778421
2021-08-10,1.1396296040863665,-0.12305215485003493,2.300445868728175
2021-08-11,1.1314392959140127,-0.12297395136575587,2.294005481991438
2021-08-12,1.0534321087709864,-0.11800133547684744,2.302375741289491
2021-08-13,0.9023638073191806,-0.28009316460815203,2.1445154407819085
2021-08-14,1.020052313380687,-0.23078453211064495,2.267398494537538
2021-08-15,1.4364095027496275,0.18991022073535796,2.585848820379171
2021-08-16,1.339867521716747,0.054537474211130116,2.6095846575987363
2021-08-17,1.4177027271589044,0.1769760299790327,2.695995837646754
2021-08-18,1.434276669671465,0.3192138456125188,2.6967767918604584
2021-08-19,1.3801639922227462,0.19563036465288527,2.6312506901606674
2021-08-20,1.2517586612680356,0.08910369298205567,2.4534968755642765
2021-08-21,1.3905424855826576,0.07276847264086984,2.601718920121347
2021-08-22,1.8261256536213493,0.5372981384658015,2.960200912601575
2021-08-23,1.7466810642439383,0.5308808030182303,2.9898218151492197
2021-08-24,1.8392753485262414,0.6064596603041421,3.1201717939042743
2021-08-25,1.8681158188660236,0.593421098612949,3.0201751063493276
2021-08-26,1.8236830623243647,0.6346597772464746,3.019719763865291
2021-08-27,1.7023404711622798,0.4181736805542104,2.954801857940039
2021-08-28,1.8456045766521805,0.6317172612692158,3.0509217026874773
2021-08-29,2.283185864642295,1.035176480635233,3.4724727346714888
2021-08-30,2.2034218336186795,0.8947268835949883,3.403857638042258
2021-08-31,2.2936052171782473,1.1022818323161712,3.531445333943186
2021-09-01,2.3182266689072115,1.111353217017295,3.572407462005619
2021-09-02,2.268101724205998,1.1283235277549402,3.5929252352850933
2021-09-03,2.139973462728599,0.9186268061604564,3.3795011627378884
2021-09-04,2.2757748978628056,1.0902795276933774,3.5150645141487202
2021-09-05,2.7056609574295543,1.497137957621902,3.9941162578253464
2021-09-06,2.6184320225806794,1.3443334071992528,3.797797593153055
2021-09-07,2.7018521681861314,1.421248686039884,3.9363426536839703
2021-09-08,2.720881633637654,1.4888440467313655,3.9041782217027294
2021-09-09,2.666793573165359,1.4802197567497344,3.8368464530359434
2021-09-10,2.536766741731887,1.2316878409158043,3.7250085682840037
2021-09-11,2.6731383674496696,1.4229599526915846,3.9349873513929556
2021-09-12,3.1064272855457524,1.860487731882436,4.344033306990506
2021-09-13,3.0257494941664063,1.7930446484793297,4.164866934635274
2021-09-14,3.1191294447169176,1.9314449259452873,4.348156177534061
2021-09-15,3.15172673924546,1.9467319250933262,4.351432762613286
