ds,yhat,yhat_lower,yhat_upper
2016-01-01,19.54263526755689,12.553647782034261,26.32057241131276
2016-01-02,21.072637834049843,14.228813757110105,27.775401819540388
2016-01-03,23.71633191882178,16.8623068006285,30.632131819349876
2016-01-04,20.835228147716236,13.421529168389934,27.645580299646166
2016-01-05,20.50261504849779,13.269555181269473,27.39760186737019
2016-01-06,19.860308485628593,12.914991651712477,26.25220546390282
2016-01-07,19.186084860762143,12.814891819320636,26.192791181938805
2016-01-08,18.732064584803368,12.030844428262935,25.831599230645445
2016-01-09,20.41182265054943,13.53355304427723,27.76547920560256
2016-01-10,23.20336684982166,16.592124093678652,30.01603850441275
2016-01-11,20.466018944928116,13.824539052205655,26.847104126739044
2016-01-12,20.27096279088719,13.849642198940204,26.939609273646596
2016-01-13,19.75803386532546,12.80639837221044,26.605936634374398
2016-01-14,19.203191252457987,12.560602653481585,26.02281800434349
2016-01-15,18.856937783429952,11.987165427777622,26.033550562891403
2016-01-16,20.631464365635637,13.736157608198042,27.698251374440577
2016-01-17,23.503658273971368,16.673175536611023,29.949620367912374
2016-01-18,20.83200998695802,14.388512839618226,27.438799209785245
2016-01-19,20.687181899461603,13.932889993305015,27.392632311198117
2016-01-20,20.2088127851147,13.551818382924559,27.213357916402515
2016-01-21,19.67299856821071,12.949193913342008,26.438634903981423
2016-01-22,19.33071473351785,13.055053080105637,26.189782876400834
2016-01-23,21.094956158979816,14.25909542612089,28.05611433688113
2016-01-24,23.943734033505912,17.253881839399426,31.20268349720129
2016-01-25,21.23696447721527,14.429270270554344,27.68422437338398
2016-01-26,21.04701237990611,14.753168015349097,27.885011599418203
2016-01-27,20.51546466658379,14.220968544366084,27.2125825433305
2016-01-28,19.92057403427263,12.911138301566936,26.81646263534809
2016-01-29,19.515639116625316,13.401036470782744,26.541986550879457
2016-01-30,21.21609762294843,14.423427061472399,28.011693202882377
2016-01-31,24.002472996195902,17.927045691252825,30.847962871131475
2016-02-01,21.237210193830414,14.114462305779513,28.282029389831624
2016-02-02,20.99516517874122,14.463667541474189,27.785079083175617
2016-02-03,20.420323462742704,13.06082979054466,27.493171249704826
2016-02-04,19.793189919154802,13.654964186581138,26.180214973171708
2016-02-05,19.369117005189622,12.960464249377196,26.013028710669687
2016-02-06,21.065349110390557,13.699906325576158,27.61066191741505
2016-02-07,23.86392470314605,17.375910423193925,30.972983002441794
2016-02-08,21.128472937068317,14.126535511474366,28.036908832435493
2016-02-09,20.9346702672022,14.45815201968331,27.927933263192713
2016-02-10,20.42693326108841,13.799333623388849,27.629851590331576
2016-02-11,19.885790521621292,12.991849529237092,25.896959640608895
2016-02-12,19.56620140116518,12.732064186096757,26.33637497577983
2016-02-13,21.384599584655483,14.540460914254373,28.20067932142148
2016-02-14,24.321803385572803,17.55520144162415,31.01411817749302
2016-02-15,21.73982939165724,14.943663353862114,28.57431378421954
2016-02-16,21.712374784892223,14.974448777875688,27.930064657387884
2016-02-17,21.381544097155935,14.284770751344254,28.224461052348957
2016-02-18,21.025262702482145,13.945906399133737,27.665189325640835
2016-02-19,20.895643928664512,14.033079189124466,27.570864690303186
2016-02-20,22.906086903713636,16.167274744458897,29.604818816345706
2016-02-21,26.034245873490754,19.343182654688125,32.51683338967856
2016-02-22,23.63890639813298,16.576700712897598,30.41448300659734
2016-02-23,23.790532427396023,17.520397049289556,30.87317151725419
2016-02-24,23.62805862701369,16.86635387963183,30.44773957253917
2016-02-25,23.426368833385826,16.63629806882701,30.463090815192583
2016-02-26,23.43472609496994,16.615483261636925,30.20955026536445
2016-02-27,25.563930023309982,18.70018519854779,32.40862489603515
2016-02-28,28.789340862001318,22.3234995838158,35.96768898540295
2016-02-29,26.467804449483445,19.460275776949356,33.164766411683516
2016-03-01,26.668240969650853,20.192324137786215,33.22346857449451
2016-03-02,26.528470908303632,19.39871165487541,33.529605599072546
2016-03-03,26.322718314681513,19.689750204727765,33.1359257415044
2016-03-04,26.30005624292975,19.48531987609937,33.31812488801453
2016-03-05,28.371569722744876,22.078089757638022,35.135676976939735
2016-03-06,31.51337551308258,24.815515890323855,37.95270928663436
2016-03-07,29.08353288447571,22.028317752110326,35.86391106051159
2016-03-08,29.15260861672226,22.77034061636258,36.015354735052426
2016-03-09,28.860470140013163,21.933108406849826,35.89814788755447
2016-03-10,28.48374763438872,22.051072007338,35.342292098251676
2016-03-11,28.27423086759558,21.645675431779953,35.190169360440805
2016-03-12,30.145977193989694,23.245279442448815,36.601939360699205
2016-03-13,33.078271185869134,26.416122388024082,40.15060324208019
2016-03-14,30.43247147460478,23.388330304838426,37.276631101342936
2016-03-15,30.282509404344136,23.534852322829583,37.47873639027896
2016-03-16,29.771614892767452,23.669512240518777,36.15642497629161
2016-03-17,29.179711795989284,22.11795640422051,35.4546876745091
2016-03-18,28.76175002124075,21.746310016967637,35.36228575304773
2016-03-19,30.43475222042886,23.684141015352193,36.955653474654625
2016-03-20,33.18071686017727,26.683808043793164,39.54280992936435
2016-03-21,30.36341445330628,23.846238562408736,37.21270666073871
2016-03-22,30.0588426175925,23.145453489785353,36.654336799888604
2016-03-23,29.41191625033753,22.145983342778283,36.08530622454877
2016-03-24,28.703835821450433,21.910507823796898,35.81406793887832
2016-03-25,28.190401530065664,21.652402808803,35.15193213514096
2016-03-26,29.789051445168205,23.156101526689444,37.086743458368275
2016-03-27,32.48176549362342,26.21248190700272,38.712520260345016
2016-03-28,29.631871930235718,22.952827715153703,36.00267184343969
2016-03-29,29.314521591648877,22.466889245370307,36.10133062843436
2016-03-30,28.67340565697916,21.669117986501924,35.68469825704149
2016-03-31,27.988159165698224,21.116335922004428,34.699683470307306
2016-04-01,27.512717119345467,20.54105145280347,34.66152422059475
2016-04-02,29.162400226999434,22.59621638510464,36.03278727882125
2016-04-03,31.9168709824639,25.03081008443627,38.80018498503404
2016-04-04,29.136995446883216,21.743991930816428,35.67635476762443
2016-04-05,28.895374724367898,21.754921512227398,35.60185650877231
2016-04-06,28.33312051774039,21.013463001729683,35.75161555172292
2016-04-07,27.727315690439486,21.104047409775873,34.511088752398514
2016-04-08,27.329425379789697,20.360661122112724,34.86078111724662
2016-04-09,29.052434513311486,22.309450601584544,35.995341861493415
2016-04-10,31.873851309098573,25.092923509541457,38.31457831126787
2016-04-11,29.15261115341385,22.4203034688866,35.70682899369844
2016-04-12,28.959644009951987,22.519600645751773,35.53864223839809
2016-04-13,28.43467908015976,21.91318517756943,35.30856373781459
2016-04-14,27.853727150726332,20.47176051226962,34.00406437097663
2016-04-15,27.467505871158128,20.528231445143287,34.35018084965247
2016-04-16,29.188583693551966,22.616586210517777,36.12137221466518
2016-04-17,31.994382141061145,25.46825530807824,38.92619915073075
2016-04-18,29.244071043388402,22.439115990215686,36.69946657995751
2016-04-19,29.009120326778028,22.387043563645676,35.88313972193414
2016-04-20,28.43008266058594,21.066572973710894,35.1164937234425
2016-04-21,27.784048118337736,20.888547446707257,34.34569437581585
2016-04-22,27.323036932735395,20.81854541450976,33.72242820960092
2016-04-23,28.961107012135116,22.2378001488715,35.89146713280077
2016-04-24,31.677316869685853,24.772102770154568,38.338332096668935
2016-04-25,28.8325796489992,22.200052146078022,35.478791632945494
2016-04-26,28.50017287469671,21.37718983730698,34.80292275237791
2016-04-27,27.822479261228793,20.864076189793266,34.970432370493945
2016-04-28,27.078400727150914,20.446880254314312,34.09313962014741
2016-04-29,26.521712617429152,19.56458233969658,33.96312910043394
2016-04-30,28.06813563731264,21.264558396626878,35.01254069073618
2016-05-01,30.698266878294,23.648648784551064,37.6330873200168
2016-05-02,27.77440622784417,20.780967490227148,35.0102991196831
2016-05-03,27.37104326503065,20.904040540298965,34.36385392001183
2016-05-04,26.63158030814838,19.913220423090856,33.5585093869166
2016-05-05,25.835733948529523,19.273410342442116,32.63203627181228
2016-05-06,25.23788211555308,18.314993958223152,32.032143048472236
2016-05-07,26.754134077635747,20.43672944172555,33.88547342271222
2016-05-08,29.365264528843177,23.065507622540736,36.267113573598984
